date,code,min,max,x,y,cm
2002-01-14,SONDOC,0.3,0.5,106.52634634862564,10.02521742703001,30.48
2002-01-14,ANTHUAN,4.0,6.2,106.57214728017047,9.997516000287387,0.0
2002-01-14,BINHDAI,0.8,3.4,106.69680698921823,10.206350985375803,152.4
2002-01-14,BENTRAI,0.4,1.2,106.53714631788698,9.87584489783824,0.0
2002-01-14,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-15,BENTRAI,0.4,1.4,106.53714631788698,9.87584489783824,0.0
2002-01-15,ANTHUAN,4.2,6.8,106.57214728017047,9.997516000287387,0.0
2002-01-15,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-15,BINHDAI,0.7,3.8,106.69680698921823,10.206350985375803,152.4
2002-01-15,SONDOC,0.2,0.5,106.52634634862564,10.02521742703001,30.48
