code,date,time,min,max
TIENTHUY,2017-05-10,18:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-05-11,18:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-05-12,18:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-05-13,17:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-14,17:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-15,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-16,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-17,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-18,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-19,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-20,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-21,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-22,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-23,17:00:00|5:00:00,0.0,0.0
TIENTHUY,2017-05-24,17:00:00|5:00:00,0.0,0.0
TIENTHUY,2017-05-25,18:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-05-26,18:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-05-27,18:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-05-28,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-29,17:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-30,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-31,17:00:00|10:00:00,0.0,0.0
