code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
ANTHUAN,2016-05-22,7.9,17.7,13.2,17.1,17.7,14.2,12.0,11.7,15.5,17.0,14.3,10.2,8.9,7.9
ANTHUAN,2016-05-24,6.9,16.5,8.2,13.3,16.5,15.5,13.0,11.5,13.7,15.3,14.6,10.7,8.0,6.9
ANTHUAN,2016-05-25,6.8,15.2,7.1,10.2,13.7,15.2,12.7,9.9,10.8,12.3,13.8,12.1,9.0,6.8
ANTHUAN,2016-05-26,7.0,15.0,7.0,9.8,13.2,15.0,12.9,11.1,10.3,11.9,13.5,10.3,9.2,7.3
ANTHUAN,2016-05-29,6.3,15.1,7.1,6.3,8.3,11.7,15.1,14.3,12.7,10.9,11.9,12.8,12.0,10.1
ANTHUAN,2016-05-30,6.4,17.4,7.3,6.4,7.3,11.5,15.1,17.4,14.6,12.4,11.5,12.7,13.2,12.8
ANTHUAN,2016-05-31,7.3,18.8,11.3,8.3,7.3,10.4,13.0,18.5,18.8,13.2,11.4,10.1,11.5,13.4
ANTHUAN,2016-06-04,4.7,18.2,15.2,16.4,14.5,10.9,6.8,11.2,16.2,18.2,13.6,8.0,6.2,4.7
ANTHUAN,2016-06-05,4.5,18.2,9.8,13.0,13.8,11.0,7.0,9.9,15.2,18.2,12.9,8.5,6.0,4.5
ANTHUAN,2016-06-06,4.3,17.6,6.5,11.1,16.5,11.2,7.1,9.8,14.5,17.6,14.8,9.7,5.8,4.3
ANTHUAN,2016-06-08,3.4,16.1,3.4,7.3,11.8,16.1,13.3,8.3,10.1,12.5,12.7,8.7,7.0,5.6
ANTHUAN,2016-06-09,4.0,13.8,4.0,6.7,9.9,13.8,11.3,9.5,9.1,11.9,13.7,11.1,9.2,7.7
ANTHUAN,2016-06-10,3.8,14.2,5.8,3.8,8.6,14.2,12.6,11.0,9.9,8.8,11.0,12.8,11.2,8.2
ANTHUAN,2016-06-13,3.5,16.6,5.8,3.5,4.9,7.3,13.4,16.6,12.9,10.2,8.4,9.5,10.5,7.9
ANTHUAN,2016-06-14,3.9,17.5,5.0,3.9,4.2,7.6,13.7,17.5,13.9,9.9,7.8,9.7,10.8,11.5
ANTHUAN,2016-06-15,5.7,16.5,8.7,6.8,5.7,7.5,12.9,16.5,14.3,10.3,7.5,7.3,10.5,11.9
ANTHUAN,2016-06-22,5.4,15.0,6.0,11.5,14.8,13.4,11.3,10.0,13.1,15.0,11.8,7.6,6.0,5.4
ANTHUAN,2016-06-23,5.3,14.4,5.9,9.6,12.1,14.4,11.2,8.6,9.4,11.0,11.7,9.4,7.4,5.3
ANTHUAN,2016-06-24,3.0,14.4,3.0,6.5,10.4,14.4,12.7,10.4,8.2,9.6,12.1,10.5,7.5,5.4
ANTHUAN,2016-06-27,2.4,12.4,2.4,4.1,6.2,8.3,12.4,9.0,5.4,3.8,5.7,7.0,8.5,6.0
ANTHUAN,2016-06-28,2.5,11.3,3.8,2.5,5.2,7.4,11.3,10.5,7.2,4.3,3.4,5.7,7.1,5.2
ANTHUAN,2016-06-29,2.4,13.7,3.2,2.4,4.5,6.5,10.6,13.7,8.1,4.8,3.4,3.7,6.5,6.8
