Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-11-09,47.65,48.06,47.09,47.21,,120268.0,5712034.0,,,
2017-11-08,46.42,47.72,46.42,47.47,,94195.0,4463935.0,,,
2017-11-07,46.16,46.33,45.84,46.26,,48152.0,2224221.0,,,
2017-11-06,45.81,46.09,45.76,45.99,,60716.0,2789220.0,,,
2017-11-03,45.0,46.04,44.83,45.97,,56911.0,2603498.0,,,
2017-11-02,45.88,46.06,45.18,45.27,,37958.0,1724840.0,,,
2017-11-01,46.29,46.55,45.97,46.04,,56319.0,2603859.0,,,
2017-10-30,46.53,46.65,45.61,45.76,,56245.0,2585397.0,,,
2017-10-27,45.48,46.42,45.46,46.41,,74472.0,3434087.0,,,
2017-10-26,45.2,45.41,44.91,45.41,,56319.0,2548078.0,,,
2017-10-25,45.01,45.06,44.7,45.0,,47730.0,2145697.0,,,
2017-10-24,45.16,45.27,44.75,44.85,,43042.0,1937616.0,,,
2017-10-23,44.9,45.34,44.89,45.0,,43375.0,1952918.0,,,
2017-10-20,45.08,45.34,44.76,44.87,,55707.0,2503853.0,,,
2017-10-19,45.72,45.85,44.79,45.0,,59991.0,2703085.0,,,
2017-10-18,46.01,46.2,45.61,45.77,,45263.0,2076951.0,,,
2017-10-17,45.8,46.06,45.37,45.96,,65837.0,3014080.0,,,
2017-10-16,45.61,45.75,45.3,45.55,,49246.0,2243129.0,,,
2017-10-13,45.5,45.7,45.37,45.4,,43362.0,1971801.0,,,
2017-10-12,45.58,45.58,45.17,45.43,,49180.0,2233481.0,,,
2017-10-11,45.97,45.97,45.25,45.29,,69455.0,3158321.0,,,
2017-10-10,45.64,46.04,45.57,45.84,,65860.0,3016658.0,,,
2017-10-09,46.2,46.2,45.6,45.74,,44059.0,2015453.0,,,
2017-10-06,46.19,46.19,45.69,46.0,,66760.0,3066198.0,,,
2017-10-05,46.01,46.09,45.63,46.05,,94804.0,4352002.0,,,
2017-10-04,45.36,46.17,45.22,46.11,,115706.0,5313199.0,,,
2017-10-02,44.51,44.98,44.18,44.98,,95313.0,4265024.0,,,
2017-09-29,43.58,44.17,43.3,44.17,,99821.0,4384796.0,,,
2017-09-28,42.0,43.56,42.0,43.56,,157234.0,6775569.0,,,
2017-09-27,42.35,42.49,41.78,42.04,,76600.0,3219861.0,,,
2017-09-26,42.3,42.57,42.11,42.37,,51321.0,2175381.0,,,
2017-09-25,42.3,42.3,41.96,42.07,,56224.0,2366453.0,,,
2017-09-22,41.48,42.38,41.48,42.06,,79955.0,3362517.0,,,
2017-09-21,42.29,42.29,41.39,41.46,,105194.0,4378409.0,,,
2017-09-20,42.54,42.54,41.99,41.99,,57838.0,2440557.0,,,
2017-09-19,42.65,42.65,42.13,42.44,,65546.0,2777065.0,,,
2017-09-18,42.5,42.63,42.23,42.27,,44037.0,1864954.0,,,
2017-09-15,42.29,42.81,42.25,42.42,,107144.0,4555791.0,,,
2017-09-14,42.35,42.8,42.35,42.52,,65157.0,2770696.0,,,
